OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1150,2020-006Z,2025-05-22T16:06:16.670592,15.15834713,.0001595,53.0522,132.8217,146.1854,213.9241,0,U,45067,999,29288,.15088E-1,.304231E-2,0
STARLINK-1161,2020-006AA,2025-05-25T06:00:02.000160,15.79042213,.0011402,53.0203,63.4017,87.0824,327.3389,0,U,45068,999,29441,.1026E-2,.190508E-2,0
STARLINK-1167,2020-006AD,2025-05-24T21:58:01.342848,15.06395797,.0001297,53.0538,122.9781,83.3438,276.7698,0,U,45071,999,29355,-.38231E-4,-.851E-5,0
STARLINK-1168,2020-006AE,2025-05-24T07:43:28.722144,15.06401928,.000142,53.0544,125.6411,87.3144,272.8008,0,U,45072,999,29312,.4752E-5,-.211E-5,0
STARLINK-1170,2020-006AF,2025-05-25T06:00:02.000160,15.96535724,.0006086,53.0413,74.2324,91.8249,106.9555,0,U,45073,999,29426,.85971E-3,.36953E-2,.663E-4
STARLINK-1172,2020-006AG,2025-05-24T22:19:14.975616,15.06400286,.000101,53.0545,122.9099,70.2744,289.8354,0,U,45074,999,29321,.75251E-4,.84E-5,0
STARLINK-1153,2020-006AN,2025-05-24T05:52:01.963488,15.06388169,.0001372,53.0546,125.9902,88.2642,271.8504,0,U,45080,999,29311,.13546E-3,.1736E-4,0
STARLINK-1151,2020-006AP,2025-05-24T23:01:43.564800,15.06399512,.00013,53.0541,122.8528,88.5653,271.5484,0,U,45081,999,29357,.58784E-4,.594E-5,0
STARLINK-1190,2020-006AR,2025-05-25T06:00:02.000160,15.31916706,.0001197,53.0491,138.2498,76.3130,207.3173,0,U,45083,999,29337,-.83208E-3,-.26273E-3,0
STARLINK-1173,2020-006AS,2025-05-22T11:53:09.902400,15.08209213,.0000639,53.0535,113.7951,114.6759,245.4297,0,U,45084,999,29313,.13429E-1,.216341E-2,0
STARLINK-1179,2020-006AT,2025-05-23T03:23:56.190048,15.13757504,.0002688,53.0551,110.7522,119.5887,240.5374,0,U,45085,999,29323,.22718E-1,.440553E-2,0
STARLINK-1185,2020-006AV,2025-05-24T06:31:50.053440,15.06398442,.0001601,53.0536,105.8630,90.6500,269.4672,0,U,45087,999,29340,.16533E-3,.2182E-4,0
STARLINK-1183,2020-006AW,2025-05-24T21:23:30.960384,15.06400907,.0001448,53.0546,103.0808,89.1489,270.9666,0,U,45088,999,29349,.70915E-4,.775E-5,0
STARLINK-1176,2020-006AY,2025-05-24T04:15:41.245344,15.18044564,.0002005,53.0539,105.9171,167.5956,192.5088,0,U,45090,999,29339,.1686E-1,.365224E-2,0
STARLINK-1142,2020-006BB,2025-05-25T04:24:36.654048,15.32040384,.0001696,53.0465,79.3192,103.2827,256.8363,0,U,45093,999,29419,.50428E-2,.161261E-2,0
STARLINK-1146,2020-006BC,2025-05-22T11:01:38.570880,15.12313070,.0001699,53.0530,113.8568,89.7581,270.3605,0,U,45094,999,29313,.3704E-2,.6519E-3,0
STARLINK-1147,2020-006BD,2025-05-23T02:35:36.936960,15.14880078,.0003176,53.0551,111.4415,127.0278,233.1006,0,U,45095,999,29322,.15426E-1,.302695E-2,0
STARLINK-1152,2020-006BE,2025-05-24T13:34:33.698784,15.14902394,.000613,53.0542,100.7802,48.6941,311.4578,0,U,45096,999,29349,.16194E-2,.30345E-3,0
STARLINK-1184,2020-006BG,2025-05-24T07:24:54.700416,15.06395102,.0001293,53.0548,105.6968,92.0116,268.1021,0,U,45098,999,29340,.1044E-3,.1274E-4,0
STARLINK-1193,2020-006BJ,2025-05-25T04:01:35.679648,15.06400537,.000151,53.0550,101.8427,89.0887,271.0275,0,U,45100,999,29388,.28267E-4,.14E-5,0
STARLINK-1143,2020-012B,2025-05-24T16:53:49.533792,15.24040019,.0000573,53.0621,254.3889,112.5796,247.5261,0,U,45179,999,29141,.89176E-3,.21635E-3,0
STARLINK-1200,2020-012D,2025-05-22T18:53:34.212192,15.14693810,.0003083,53.0540,272.3469,97.9102,262.2241,0,U,45181,999,29099,.26932E-1,.537401E-2,0
STARLINK-1201,2020-012E,2025-05-22T14:35:58.909344,15.14244220,.0000776,53.0533,253.1417,110.4442,249.6633,0,U,45182,999,29059,.19685E-1,.383893E-2,0
STARLINK-1202,2020-012F,2025-05-24T18:23:02.597856,15.06405000,.0001268,53.0549,263.6456,90.1964,269.9171,0,U,45183,999,29129,.10079E-3,.122E-4,0
STARLINK-1216,2020-012H,2025-05-24T13:25:48.935424,15.06405385,.0001184,53.0552,264.5668,91.7108,268.4017,0,U,45185,999,29120,.46343E-4,.409E-5,0
STARLINK-1224,2020-012J,2025-05-24T21:01:28.991136,15.13065297,.0001009,53.0562,262.8352,157.9077,202.1959,0,U,45186,999,29066,.14221E-2,.25233E-3,0
STARLINK-1225,2020-012K,2025-05-24T17:03:26.260704,15.06401348,.0001326,53.0563,263.8959,98.2715,261.8424,0,U,45187,999,29127,.48038E-4,.434E-5,0
STARLINK-1228,2020-012L,2025-05-24T14:25:46.266816,15.60297141,.0004824,53.0487,208.7385,329.8768,30.1966,0,U,45188,999,29105,.68441E-3,.56892E-3,0
STARLINK-1230,2020-012M,2025-05-24T17:08:45.101760,15.06391444,.0001484,53.0554,263.8775,83.3628,276.7530,0,U,45189,999,28850,-.80683E-4,-.1483E-4,0
STARLINK-1234,2020-012N,2025-05-24T14:24:13.070592,15.06395142,.0000955,53.0549,224.3887,88.8523,271.2576,0,U,45190,999,29084,-.56348E-5,-.365E-5,0
STARLINK-1237,2020-012Q,2025-05-22T13:19:25.552704,15.14291894,.0003125,53.0530,273.3833,83.2146,276.9202,0,U,45192,999,29002,.11384E-1,.217007E-2,0
STARLINK-1240,2020-012S,2025-05-25T04:18:59.368320,15.21230227,.0002115,53.0527,261.3746,70.0108,290.1115,0,U,45194,999,29041,.2394E-1,.578914E-2,0
STARLINK-1244,2020-012U,2025-05-25T05:33:35.265024,15.18002793,.0000686,53.0531,261.1833,111.6201,248.4866,0,U,45196,999,29045,.12337E-1,.263069E-2,0
STARLINK-1269,2020-012V,2025-05-25T01:22:21.669600,15.06396163,.0001669,53.0542,262.3372,84.2603,275.8576,0,U,45197,999,29042,.98983E-4,.1193E-4,0
STARLINK-1154,2020-012W,2025-05-24T17:11:24.093312,15.06396554,.000113,53.0539,243.8670,100.3235,259.7881,0,U,45198,999,29150,.31788E-3,.4456E-4,0
STARLINK-1199,2020-012Z,2025-05-24T15:51:46.480032,15.06408614,.000113,53.0551,244.1218,92.1236,267.9883,0,U,45201,999,29155,.13103E-3,.1671E-4,0
STARLINK-1206,2020-012AC,2025-05-22T17:52:26.497632,15.13662075,.0001474,53.0540,252.5308,163.7487,196.3553,0,U,45204,999,29128,.10237E-1,.190986E-2,0
STARLINK-1208,2020-012AD,2025-05-22T16:45:14.191488,15.16953819,.0001326,53.0533,252.7149,110.8859,249.2276,0,U,45205,999,29128,.2731E-1,.58427E-2,0
STARLINK-1209,2020-012AE,2025-05-24T22:27:13.327488,15.06403148,.0001122,53.0549,222.8884,88.3690,271.7427,0,U,45206,999,29092,.11038E-3,.1363E-4,0
STARLINK-1210,2020-012AF,2025-05-24T21:44:58.650432,15.30691013,.0010771,53.0343,222.3981,256.3015,103.6785,0,U,45207,999,29188,.17491E-2,.52697E-3,0
STARLINK-1219,2020-012AJ,2025-05-25T06:00:02.000160,15.64816305,.0010993,53.0525,218.5687,325.8702,84.3127,0,U,45210,999,29102,.97888E-3,.9812E-3,0
