ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
9PS2,small_airport,J T Willie Airport,1200,NA,US,US-PA,Langhorne,,,9PS2,9PS2,"40.80870056152344, -79.6697998046875"
9PS3,heliport,Doylestown Heliport,325,NA,US,US-PA,Portland,,,9PS3,9PS3,"40.307098388671875, -75.14659881591797"
9PS4,heliport,Pheasant Run Heliport,400,NA,US,US-PA,San Antonio,,,9PS4,9PS4,"40.7495002746582, -75.21019744873047"
9PS5,heliport,Reading Hospital Heliport,320,NA,US,US-PA,Lakeside,,,9PS5,9PS5,"40.33060073852539, -75.95020294189453"
9PS6,heliport,Siepsers Eye Port Heliport,350,NA,US,US-PA,Winifred,,,9PS6,9PS6,"39.97090148925781, -75.65599822998047"
9PS7,heliport,W S Lee & Sons Inc Heliport,1104,NA,US,US-PA,Selby,,,9PS7,9PS7,"40.447200775146484, -78.42890167236328"
9PS8,small_airport,Manor Landing Airport,560,NA,US,US-PA,Hartford,,,9PS8,9PS8,"39.81268, -77.30273"
9PS9,heliport,St Mary Medical Center Heliport,150,NA,US,US-PA,Dell Rapids,,,9PS9,9PS9,"40.20220184326172, -74.92289733886719"
9R5,small_airport,Hunt Airport,40,NA,US,US-TX,New Braunfels,,,K9R5,9R5,"27.888076, -97.349226"
9R7,heliport,Camp Bullis Heliport,1066,NA,US,US-TX,Crosby,,,,9R7,"29.641405, -98.577672"
9S3,small_airport,Lakeside State Airport,20,NA,US,US-OR,Dallas,,,9S3,9S3,"43.58319854736328, -124.18000030517578"
9S7,small_airport,Winifred Airport,3311,NA,US,US-MT,Dallas,,,K9S7,9S7,"47.555395, -109.38602"
9SD7,small_airport,Beaman Airport,1960,NA,US,US-SD,Freeport,,,9SD7,9SD7,"45.474998, -100.035004"
9SD8,small_airport,Oakleaf Airport,1625,NA,US,US-SD,Galveston,,,9SD8,9SD8,"43.582434, -96.94502"
9SD9,small_airport,Weelborg Airport,1553,NA,US,US-SD,Alto,,,9SD9,9SD9,"43.80659866333008, -96.70890045166016"
9TA1,small_airport,Hilltop Ranch Airport,762,NA,US,US-TX,Houston,,,9TA1,9TA1,"29.659882, -98.139153"
9TA3,small_airport,Rogers Airport,38,NA,US,US-TX,Scurry,,,9TA3,9TA3,"29.87299919128418, -94.9896011352539"
9TA4,heliport,Placid Heliport,1090,NA,US,US-TX,Sonora,,,9TA4,9TA4,"32.78179931640625, -96.79810333251953"
9TA5,heliport,Charlton-Careflite Heliport,705,NA,US,US-TX,Port Lavaca,,,9TA5,9TA5,"32.643699645996094, -96.87750244140625"
9TA6,heliport,Buccaneer Shore Facility Heliport,5,NA,US,US-TX,Garden City,,,9TA6,9TA6,"28.976900100708008, -95.31739807128906"
9TA7,heliport,U of Texas Medical Branch Emergency Room Heliport,35,NA,US,US-TX,La Grange,,,9TA7,9TA7,"29.312433, -94.779149"
9TA8,small_airport,Taylor Ranch Airport,270,NA,US,US-TX,Paige,,,9TA8,9TA8,"31.684099197387695, -94.97720336914062"
9TA9,heliport,Delta Mechanical Inc Heliport,73,NA,US,US-TX,Nashville,,,9TA9,9TA9,"29.85219955444336, -95.40850067138672"
