client_city,client_country_code,server_city,server_country_code,distance
Kalgoorlie,AU,Sydney,AU,2811.68
Doha,QA,Amsterdam,NL,4915.56
Miami,US,Doha,QA,12347.44
Vancouver,CA,Montreal,CA,3696.4
Santiago,CL,Sao Paulo,BR,2585.63
Punxsutawney,US,Newark,US,405.42
Markham,CA,Toronto,CA,17.42
Delaware,US,New York,US,776.65
Miami,US,Johannesburg,ZA,12947.94
Sydney,AU,Milan,IT,16554.34
Sofia,BG,Tel Aviv,IL,1551.71
Los Angeles,US,London,GB,8779.4
Aylmerton,AU,Sydney,AU,89.29
Maseru,LS,Johannesburg,ZA,348.63
Buenos Aires,AR,Calgary,CA,10939.71
Auckland,NZ,Melbourne,AU,2632.14
Dawson,US,Macomb,US,1115.65
Ashburn,US,Reisterstown,US,73.97
Kasempa,ZM,Maputo,MZ,1549.07
Salt Lake City,US,Salt Lake City,US,0.0
Newcastle,AU,Sydney (Mascot),AU,115.82
Stony Creek,US,Macomb,US,1218.02
Abakaliki,NG,Lisbon,PT,3985.5
Danville,US,New York,US,4107.65
Rome,IT,Athens,GR,1053.48
Ararat,AU,Sydney,AU,840.66
Berlin,DE,Paris,FR,879.69
Suleja,NG,Lagos,NG,515.62
Manila,PH,Helsinki,FI,8940.67
Kurrajong Heights,AU,Melbourne,AU,699.43
Orsay,FR,Turin,IT,580.18
Ashburn,US,Frankfurt,DE,6566.26
Chicago,US,Melbourne,AU,15563.01
Los Angeles,US,Singapore,SG,14122.5
Lima,PE,Bogota,CO,1883.48
Ashburn,US,Milan,IT,6831.02
Sydney,AU,Omaha,US,14171.47
Peelhurst,AU,Sydney (Mascot),AU,919.24
Harare,ZW,Dallas,US,14576.23
Sofia,BG,New York,US,7599.53
Harare,ZW,Cape Town,ZA,2182.36
Kuala Lumpur,MY,Dallas,US,15578.87
Quito,EC,Bogota,CO,735.61
Bogotá,CO,Buenos Aires,AR,4647.02
Athens,GR,Tel Aviv,IL,1200.99
London,GB,Omaha,US,6924.53
Sofia,BG,Los Angeles,US,10652.48
Kinshasa,CD,Lisbon,PT,5388.5
Sydney,AU,Osaka,JP,7764.16
Yass,AU,Melbourne,AU,484.1
Vancouver,CA,Madrid,ES,8438.52
Salt Lake City,US,Tokyo,JP,8825.16
Milan,IT,Marseille,FR,388.3
Santiago,CL,Lima,PE,2455.15
Cayenne,GF,Miami,US,3761.71
Madrid,ES,Zurich,CH,1248.67
Minneapolis,US,Winnipeg,CA,620.25
Brussels,BE,Brussels,BE,0.0
Berlin,DE,Zurich,CH,670.05
Asunción,PY,Florianopolis,BR,941.1
Homer,US,Atlanta,US,5569.93
Uxbridge,CA,Toronto,CA,45.91
Dawson,US,Washington,US,1039.5
Fort Liberté,HT,Washington,US,2190.31
Hop Bottom,US,New York,US,190.99
New York,US,New York,US,0.0
Innot Hot Springs,AU,Sydney (Mascot),AU,1875.26
Lisbon,PT,Montreal,CA,5237.86
Oslo,NO,Stockholm,SE,417.79
Yass,AU,Sydney,AU,236.74
San Jose,US,Seattle,US,1147.02
Kuala Lumpur,MY,Doha,QA,5894.03
Abakaliki,NG,"Paris (Roissy-en-France, Val-d'Oise)",FR,4745.57
Marble,US,Atlanta,US,1680.22
Chicago,US,Tokyo,JP,10159.5
Calgary,CA,Chicago,US,2254.15
Sofia,BG,Stavanger,NO,2178.94
Quirindi,AU,Sydney,AU,266.71
Kasempa,ZM,Nairobi,KE,1809.83
New York,US,Montreal,CA,535.69
Atlanta,US,Sydney,AU,14942.25
Exeter,AU,Sydney (Mascot),AU,1174.12
Tokyo,JP,Hong Kong,HK,2884.64
Dallas,US,Charleston,US,1571.61
Bellangry,AU,Sydney,AU,311.03
Miami,US,Milan,IT,7969.58
Calgary,CA,Columbus,US,2694.4
Tirana,AL,Sofia,BG,327.65
Gitega,BI,Nairobi,KE,802.3
Prague,CZ,Prague,CZ,0.0
Rome,IT,Berlin,DE,1183.48
Gaborone,BW,Prague,CZ,8356.18
Wagga Wagga,AU,Melbourne,AU,368.68
Oslo,NO,Paris,FR,1343.46
Miami,US,San Francisco Bay Area,US,4174.17
Dili,TL,Amsterdam,NL,12812.45
London,GB,Stavanger,NO,909.76
Salt Lake City,US,Prague,CZ,8663.58
Luxembourg,LU,Brussels,BE,187.05
Antananarivo,MG,Marseille,FR,8123.34
Milan,IT,Omaha,US,7875.42
Chicago,US,Madrid,ES,6748.19
Avarua,CK,Auckland,NZ,3010.08
Jacumba Hot Springs,US,Los Angeles,US,264.79
Berlin,DE,Chicago,US,7109.79
Calgary,CA,Marseille,FR,8032.45
Culpeper,US,Dulles,US,73.0
Winnipeg,CA,Omaha,US,962.01
Lilongwe,MW,Frankfurt am Main,DE,7510.96
Oslo,NO,Frankfurt,DE,1099.03
Lara,AU,Sydney,AU,765.56
Limerick,AU,Sydney,AU,164.14
Antananarivo,MG,New Delhi,IN,6151.89
Madrid,ES,Washington,US,6101.75
Diamond Point,US,Newark,US,308.6
Atlanta,US,Berlin,DE,7596.09
Rio de Janeiro,BR,Florianopolis,BR,747.62
London,GB,Sydney,AU,16988.55
Yenagoa,NG,Tunis,TN,3552.79
Stewiacke,CA,Toronto,CA,1283.01
Kulnura,AU,Sydney,AU,70.45
Spencerville,CA,Toronto,CA,329.0
Los Angeles,US,Milan,IT,9739.78
Muscat,OM,Muscat,OM,0.0
Antananarivo,MG,Johannesburg,ZA,2157.0
Vancouver,CA,Dallas,US,2845.52
Ashburn,US,Charleston,US,724.98
London,GB,Singapore,SG,10855.58
Berlin,DE,Denver,US,8182.0
Kingston,JM,Miami,US,934.24
Vancouver,CA,Frankfurt,DE,8074.97
Dubai,AE,Doha,QA,379.11
Ljubljana,SI,Ljubljana,SI,0.0
Kellevie,AU,Melbourne,AU,602.19
Baltimore,CA,Montreal,CA,398.98
Santa Cruz,EC,Bogota,CO,1900.82
Roseau,DM,Bogota,CO,1816.53
Front Royal,US,Dulles,US,64.08
Ulan Bator,MN,Taipei,TW,2846.98
Bogotá,CO,Frankfurt,DE,9097.53
Wollongong,AU,Sydney,AU,69.29
San José,CR,Omaha,US,3665.29
Winnipeg,CA,Toronto,CA,1513.49
Vancouver,CA,Winnipeg,CA,1869.33
Hervey Bay,AU,Sydney,AU,963.84
Los Angeles,US,Denver,US,1356.54
Seattle,US,Denver,US,1649.96
