h3Index,lat,lon,parent_data_points,client_server_distance_km
841f9cbffffffff,46.516774,7.582014,323622.0,119.97687122988596
841f9cdffffffff,46.273696,6.614917,323622.0,156.32642011761132
841f9d1ffffffff,46.378716,8.720076,323622.0,84.94766280381522
841f9d3ffffffff,46.305015,9.290325,323622.0,87.09056373573542
841f9d5ffffffff,46.075251,8.310763,323622.0,61.727671312090976
841f9d7ffffffff,46.002948,8.877884,323622.0,44.12749727141379
841f9d9ffffffff,46.75239,8.560885,323622.0,69.18058916653095
841f9dbffffffff,46.680403,9.133536,323622.0,89.28221163492677
841f9ddffffffff,46.449297,8.150602,323622.0,103.88294468182829
841f9e1ffffffff,45.220127,6.550937,323622.0,89.61634705688245
841f9e3ffffffff,45.154778,7.107494,323622.0,45.40070148059825
841f9e5ffffffff,44.90893,6.161264,323622.0,120.61225228614697
841f9e7ffffffff,44.844793,6.71455,323622.0,80.01717803416909
841f9e9ffffffff,45.593413,6.385956,323622.0,115.92256820850878
841f9ebffffffff,45.529821,6.944681,323622.0,76.04429293921412
841f9edffffffff,45.282502,5.99553,323622.0,133.64307991215318
841fb01ffffffff,48.320927,2.911185,206769.0,72.38429524911454
841fb03ffffffff,48.282008,3.478656,206769.0,104.6559494069547
841fb05ffffffff,48.043273,2.540576,206769.0,91.50966992143738
841fb07ffffffff,47.96995,3.094549,206769.0,112.8006061838816
841fb09ffffffff,48.706657,2.736632,206769.0,32.737505041530795
841fb0bffffffff,48.632606,3.295815,206769.0,73.53902435715415
841fb0dffffffff,48.429606,2.363808,206769.0,47.498343227523584
841fb11ffffffff,48.549443,4.440311,206769.0,156.99172920312796
841fb13ffffffff,48.503286,5.015096,206769.0,199.40376047802476
841fb15ffffffff,48.240095,4.047944,206769.0,142.4091363497151
841fb17ffffffff,48.19516,4.618945,206769.0,182.40771482743705
841fb19ffffffff,48.901489,4.260169,206769.0,139.6099207527858
841fb1bffffffff,48.857165,4.837135,206769.0,181.78916423379343
841fb1dffffffff,48.59254,3.867182,206769.0,114.94255216204735
841fb21ffffffff,47.375484,2.348347,206769.0,164.70395276835816
841fb23ffffffff,47.302875,2.897194,206769.0,177.45636334106192
841fb25ffffffff,47.091869,1.983825,206769.0,198.14624406445043
841fb27ffffffff,46.987602,2.522262,206769.0,208.2200350390277
841fb29ffffffff,47.762905,2.171945,206769.0,122.35275318243448
841fb2bffffffff,47.656423,2.714822,206769.0,136.137478981045
841fb2dffffffff,47.479838,1.805306,206769.0,158.37996519080292
841fb31ffffffff,47.574136,3.839848,206769.0,180.2371756735761
841fb33ffffffff,47.528543,4.40499,206769.0,212.0339416777926
841fb35ffffffff,47.261355,3.456825,206769.0,195.46365841084187
841fb37ffffffff,47.216896,4.018229,206769.0,220.42121870776973
841fb39ffffffff,47.929179,3.659995,206769.0,141.27953882516888
841fb3bffffffff,47.885424,4.227208,206769.0,175.62387468994922
841fb3dffffffff,47.616753,3.276425,206769.0,153.92918443653951
841fb41ffffffff,49.200538,2.002504,206769.0,45.95422836107723
841fb43ffffffff,49.091814,2.559524,206769.0,30.20700657072021
841fb45ffffffff,48.921943,1.627302,206769.0,53.49304453836786
841fb47ffffffff,48.815376,2.184469,206769.0,13.108057209698996
841fb49ffffffff,49.585046,1.817859,206769.0,89.80541465306237
841fb4bffffffff,49.476353,2.37981,206769.0,68.93150460792697
841fb4dffffffff,49.307061,1.440434,206769.0,83.1694540233594
841fb51ffffffff,49.290686,3.501104,206769.0,96.60375011276767
841fb53ffffffff,49.25128,4.078502,206769.0,133.22598066147233
841fb55ffffffff,48.980956,3.111459,206769.0,57.17281292321034
841fb57ffffffff,48.942743,3.684907,206769.0,97.88456031327756
841fb59ffffffff,49.636357,3.315758,206769.0,111.38880286988103
841fb5bffffffff,49.598802,3.895295,206769.0,139.1544296501169
841fb5dffffffff,49.365479,2.936626,206769.0,70.78186030969638
841fb61ffffffff,48.254242,1.440556,206769.0,94.81227195755325
841fb63ffffffff,48.149819,1.993004,206769.0,82.93672241278948
841fb65ffffffff,47.969579,1.071727,206769.0,136.6051923105219
841fb67ffffffff,47.867311,1.624234,206769.0,122.45606038405252
841fb69ffffffff,48.640584,1.25422,206769.0,84.0109718715419
841fb6bffffffff,48.53618,1.811475,206769.0,53.340176985560674
841fb6dffffffff,48.356479,0.883269,206769.0,121.48148099053635
8426601ffffffff,40.567747,-87.746012,544890.0,125.97656185328802
8426603ffffffff,40.206702,-87.520945,544890.0,97.98827053884257
8426605ffffffff,40.617029,-88.290687,544890.0,96.93258683521672
8426607ffffffff,40.257082,-88.06152,544890.0,86.51450371690535
