h3Index,lat,lon,parent_data_points,resolution
822617fffffffff,43.364067,-101.411916,0.0,2
82261ffffffffff,40.96992,-99.181767,0.0,2
822627fffffffff,45.846544,-95.520007,17.0,2
82262ffffffffff,43.342981,-93.43879,0.0,2
822637fffffffff,45.828051,-99.695913,0.0,2
822647fffffffff,38.313667,-89.737557,0.0,2
82264ffffffffff,35.729611,-88.028913,39.0,2
822657fffffffff,38.460991,-93.358457,4014.0,2
82265ffffffffff,35.894607,-91.507791,0.0,2
822667fffffffff,40.567747,-87.746012,544890.0,2
82266ffffffffff,38.064363,-86.237767,144.0,2
822677fffffffff,40.857953,-91.562022,147.0,2
822687fffffffff,40.560174,-107.015014,0.0,2
82268ffffffffff,38.200356,-104.687888,179947.0,2
822697fffffffff,40.15371,-110.922698,167130.0,2
82269ffffffffff,37.863444,-108.515457,0.0,2
8226a7fffffffff,43.163757,-105.434892,0.0,2
8226affffffffff,40.832427,-103.089154,7.0,2
8226b7fffffffff,42.820354,-109.45426,11.0,2
8226c7fffffffff,35.91523,-98.755732,0.0,2
8226cffffffffff,33.36367,-96.761442,295879.0,2
8226d7fffffffff,35.756503,-102.472479,0.0,2
8226dffffffffff,33.245943,-100.367086,0.0,2
8226e7fffffffff,38.496006,-97.076629,0.0,2
8226effffffffff,35.959293,-95.0915,42110.0,2
8226f7fffffffff,38.410759,-100.863705,0.0,2
822707fffffffff,50.910567,-95.714867,40769.0,2
82270ffffffffff,48.313343,-93.371792,0.0,2
822717fffffffff,50.825526,-100.41488,0.0,2
82271ffffffffff,48.348381,-97.834511,0.0,2
822727fffffffff,53.493525,-93.28644,0.0,2
82272ffffffffff,50.803345,-90.937468,0.0,2
822737fffffffff,53.476581,-98.355395,0.0,2
822747fffffffff,45.413382,-87.037108,12.0,2
82274ffffffffff,42.757173,-85.407515,0.0,2
822757fffffffff,45.709686,-91.285242,76496.0,2
82275ffffffffff,43.121507,-89.419997,0.0,2
822767fffffffff,47.71296,-84.380103,0.0,2
82276ffffffffff,44.958625,-82.82196,95.0,2
822777fffffffff,48.102192,-88.868605,7.0,2
822787fffffffff,47.926406,-106.435915,0.0,2
82278ffffffffff,45.66291,-103.771173,0.0,2
822797fffffffff,47.498765,-110.491629,61.0,2
82279ffffffffff,45.390062,-107.902428,15947.0,2
8227a7fffffffff,50.560742,-104.978435,32854.0,2
8227affffffffff,48.215131,-102.204513,0.0,2
8227b7fffffffff,50.133901,-109.356598,0.0,2
822807fffffffff,40.131717,-124.76073,0.0,2
822817fffffffff,40.980162,-121.113641,0.0,2
82281ffffffffff,42.874491,-123.748579,0.0,2
822837fffffffff,38.193209,-122.196197,313761.0,2
822887fffffffff,44.400306,-116.036346,95.0,2
82288ffffffffff,46.33521,-118.733416,0.0,2
822897fffffffff,44.967409,-112.004445,0.0,2
82289ffffffffff,46.990234,-114.662529,0.0,2
8228a7fffffffff,41.719697,-117.328141,0.0,2
8228affffffffff,43.698313,-119.961358,0.0,2
8228b7fffffffff,42.336666,-113.430901,0.0,2
8228c7fffffffff,47.257314,-125.440371,0.0,2
8228d7fffffffff,48.134609,-121.51448,332296.0,2
8228dffffffffff,49.794336,-124.36985,95465.0,2
8228f7fffffffff,45.545838,-122.668565,0.0,2
822987fffffffff,36.823438,-116.046735,0.0,2
82298ffffffffff,38.960282,-118.543846,0.0,2
822997fffffffff,37.402442,-112.312509,0.0,2
82299ffffffffff,39.617628,-114.776561,0.0,2
8229a7fffffffff,33.969092,-117.246454,198163.0,2
8229affffffffff,36.13581,-119.688987,0.0,2
8229b7fffffffff,34.580911,-113.628332,0.0,2
822a17fffffffff,40.858416,-73.781928,169629.0,2
822a37fffffffff,42.727208,-70.791059,0.0,2
822a87fffffffff,39.611498,-80.207881,0.0,2
822a8ffffffffff,37.046037,-79.102947,96.0,2
822a97fffffffff,40.150751,-83.950432,28.0,2
822a9ffffffffff,37.60827,-82.641461,0.0,2
822aa7fffffffff,41.616525,-77.554392,62567.0,2
822aaffffffffff,38.957863,-76.548273,348687.0,2
822ab7fffffffff,42.253088,-81.440214,301.0,2
822ad7fffffffff,34.566075,-78.107333,0.0,2
822af7fffffffff,36.385723,-75.646999,0.0,2
822b07fffffffff,46.277882,-64.099593,307.0,2
822b0ffffffffff,43.427343,-63.827836,14515.0,2
822b17fffffffff,47.424293,-68.10166,0.0,2
822b1ffffffffff,44.54169,-67.565551,18894.0,2
822b27fffffffff,47.911251,-60.3935,0.0,2
822b2ffffffffff,45.026905,-60.352069,0.0,2
822b37fffffffff,49.206974,-64.410079,0.0,2
822b87fffffffff,46.422926,-75.658677,1683.0,2
822b8ffffffffff,43.602853,-74.662815,457.0,2
822b97fffffffff,47.149849,-79.960378,0.0,2
822b9ffffffffff,44.351525,-78.684037,262073.0,2
822ba7fffffffff,48.441129,-72.342201,0.0,2
822baffffffffff,45.547264,-71.516441,27825.0,2
822bb7fffffffff,49.304929,-76.792856,0.0,2
822c0ffffffffff,40.848163,47.490956,0.0,2
822c27fffffffff,41.256344,41.050988,0.0,2
822c2ffffffffff,42.538712,44.319917,216.0,2
822c47fffffffff,44.978797,51.498354,0.0,2
822c4ffffffffff,46.060776,55.462887,0.0,2
822c57fffffffff,41.992737,50.997771,0.0,2
822c5ffffffffff,43.054147,54.730163,0.0,2
822c67fffffffff,46.776536,48.107272,0.0,2
822c6ffffffffff,47.987559,52.058919,0.0,2
822ceffffffffff,40.077274,54.073192,0.0,2
822d2ffffffffff,44.249905,34.129004,0.0,2
822d47fffffffff,47.011126,40.981696,0.0,2
822d4ffffffffff,48.431864,44.570277,0.0,2
822d57fffffffff,44.104731,41.048927,0.0,2
822d67fffffffff,48.400105,37.433611,0.0,2
822d6ffffffffff,49.932594,40.906306,0.0,2
822d77fffffffff,45.639705,37.565102,0.0,2
822da7fffffffff,35.378142,34.799555,4244.0,2
822db7fffffffff,32.330896,34.995441,43.0,2
822e0ffffffffff,39.742201,140.167275,0.0,2
822e1ffffffffff,42.156162,142.132178,0.0,2
822e2ffffffffff,37.160865,141.659652,0.0,2
822e67fffffffff,34.983013,136.726443,0.0,2
822e6ffffffffff,35.084901,133.727191,0.0,2
822e77fffffffff,37.34599,138.371287,0.0,2
822eaffffffffff,44.570171,144.285665,0.0,2
822ef7fffffffff,44.685113,140.538302,0.0,2
822f5ffffffffff,34.798266,139.846033,59175.0,2
8230c7fffffffff,35.273118,127.680573,0.0,2
8230cffffffffff,35.113142,130.856892,0.0,2
8230dffffffffff,33.179515,128.824242,0.0,2
8230e7fffffffff,37.256065,126.535458,23.0,2
8230effffffffff,37.382278,129.281372,0.0,2
823127fffffffff,46.941058,120.762708,0.0,2
823137fffffffff,46.075871,117.25718,0.0,2
82315ffffffffff,39.582109,127.644351,0.0,2
823387fffffffff,34.054664,179.173555,0.0,2
82339ffffffffff,37.143853,178.945849,0.0,2
8233a7fffffffff,30.974065,179.384639,0.0,2
823827fffffffff,36.439148,-1.728125,0.0,2
82386ffffffffff,37.062181,11.12745,0.0,2
823907fffffffff,39.595073,-6.686136,0.0,2
82390ffffffffff,39.190455,-3.026195,255940.0,2
823917fffffffff,37.148231,-8.826951,0.0,2
82391ffffffffff,36.841143,-5.207945,0.0,2
823927fffffffff,42.343703,-8.295521,0.0,2
82392ffffffffff,41.94806,-4.441546,0.0,2
823947fffffffff,40.971342,2.820714,0.0,2
823957fffffffff,38.690749,0.473246,0.0,2
823967fffffffff,43.584727,1.612941,0.0,2
82396ffffffffff,43.212387,5.347917,0.0,2
823977fffffffff,41.442223,-0.752027,0.0,2
823c0ffffffffff,28.506879,89.302672,148.0,2
823c1ffffffffff,26.073806,87.508056,0.0,2
823c57fffffffff,28.424304,92.641341,0.0,2
823c5ffffffffff,28.25883,95.998925,0.0,2
823cc7fffffffff,23.439678,92.273842,0.0,2
823ccffffffffff,23.265371,95.572509,0.0,2
823cdffffffffff,20.780975,93.728459,0.0,2
823ce7fffffffff,26.018785,90.798069,0.0,2
823ceffffffffff,25.88758,94.118824,0.0,2
823cf7fffffffff,23.543943,88.995846,1483.0,2
823e6ffffffffff,29.265877,35.179575,0.0,2
823e87fffffffff,21.138796,18.358532,0.0,2
823e8ffffffffff,20.083077,21.46667,0.0,2
823e97fffffffff,19.145285,15.91236,0.0,2
823e9ffffffffff,18.138435,18.972222,0.0,2
823ea7fffffffff,24.171955,17.711809,0.0,2
823eb7fffffffff,22.1342,15.216255,0.0,2
823ec7fffffffff,20.851229,27.130771,0.0,2
823ecffffffffff,19.64878,30.124905,0.0,2
823ed7fffffffff,18.977029,24.523327,0.0,2
823edffffffffff,17.831706,27.512891,0.0,2
823eeffffffffff,22.690256,29.811182,0.0,2
823ef7fffffffff,22.01395,24.053562,0.0,2
823f27fffffffff,38.337609,17.59158,0.0,2
823f2ffffffffff,37.350194,21.258359,0.0,2
823f37fffffffff,36.270169,14.739432,7.0,2
823f67fffffffff,38.063395,27.934538,0.0,2
823f77fffffffff,36.242626,24.855404,0.0,2
82404ffffffffff,25.679645,97.448282,0.0,2
82405ffffffffff,28.010839,99.352486,0.0,2
824067fffffffff,22.710742,102.14496,0.0,2
82406ffffffffff,23.021586,98.870112,0.0,2
824387fffffffff,22.526912,56.280975,0.0,2
82438ffffffffff,23.142212,59.145154,54.0,2
824397fffffffff,20.121377,55.739477,0.0,2
82439ffffffffff,20.700804,58.484725,0.0,2
8243a7fffffffff,24.347786,53.985713,0.0,2
8243affffffffff,25.035695,56.866687,37.0,2
8243b7fffffffff,21.880806,53.522699,0.0,2
824417fffffffff,25.333379,-82.198895,566.0,2
82441ffffffffff,27.908964,-83.520203,0.0,2
824447fffffffff,30.769735,-91.458505,0.0,2
82444ffffffffff,33.377732,-93.220777,444.0,2
824457fffffffff,30.678918,-88.136517,0.0,2
82445ffffffffff,33.294639,-89.76948,0.0,2
82446ffffffffff,30.774742,-94.876334,0.0,2
8244a7fffffffff,25.147353,-79.361949,222293.0,2
8244affffffffff,27.694317,-80.563842,1597.0,2
8244c7fffffffff,32.872502,-83.213195,278405.0,2
8244cffffffffff,35.474591,-84.674721,0.0,2
8244d7fffffffff,32.554041,-80.136568,0.0,2
8244dffffffffff,35.140969,-81.460291,0.0,2
8244e7fffffffff,30.510587,-84.927681,0.0,2
8244effffffffff,33.122924,-86.428165,0.0,2
8244f7fffffffff,30.274031,-81.845338,18.0,2
82450ffffffffff,20.415182,-88.325153,6.0,2
824527fffffffff,15.364307,-88.408284,0.0,2
82452ffffffffff,17.829589,-89.849672,0.0,2
824537fffffffff,15.462343,-85.568912,0.0,2
824577fffffffff,20.350447,-91.372289,0.0,2
82459ffffffffff,22.645695,-78.233428,0.0,2
824797fffffffff,24.908625,179.763703,0.0,2
8247b7fffffffff,27.919782,179.58085,0.0,2
824807fffffffff,24.486527,-108.224634,37.0,2
82480ffffffffff,26.946629,-110.360847,0.0,2
824817fffffffff,24.860067,-104.812068,0.0,2
82481ffffffffff,27.36777,-106.883771,0.0,2
82482ffffffffff,24.036818,-111.614954,0.0,2
824837fffffffff,21.997542,-106.170872,0.0,2
824847fffffffff,28.792993,-116.05571,0.0,2
824857fffffffff,29.358902,-112.578281,0.0,2
82485ffffffffff,31.705258,-114.87464,6.0,2
824877fffffffff,26.442558,-113.799307,0.0,2
824887fffffffff,27.945084,-99.915168,0.0,2
82488ffffffffff,30.502533,-101.91231,0.0,2
