h3Index,lat,lon,parent_data_points
832b1dfffffffff,44.481315,-65.993286,18894.0
832b1efffffffff,45.509116,-68.274245,18894.0
832b80fffffffff,46.422926,-75.658677,1683.0
832b81fffffffff,45.493277,-74.770575,1683.0
832b82fffffffff,46.347932,-77.316825,1683.0
832b83fffffffff,45.431621,-76.395581,1683.0
832b84fffffffff,47.417627,-74.887974,1683.0
832b85fffffffff,46.473897,-73.996694,1683.0
832b86fffffffff,47.353217,-76.585364,1683.0
832b88fffffffff,43.602853,-74.662815,457.0
832b89fffffffff,42.692708,-73.847753,457.0
832b8afffffffff,43.543725,-76.221338,457.0
832b8bfffffffff,42.644924,-75.376178,457.0
832b8cfffffffff,44.565504,-73.9191,457.0
832b8dfffffffff,43.640762,-73.102384,457.0
832b8efffffffff,44.516197,-75.511514,457.0
832b98fffffffff,44.351525,-78.684037,262073.0
832b99fffffffff,43.463508,-77.775658,262073.0
832b9afffffffff,44.236643,-80.25935,262073.0
832b9bfffffffff,43.362431,-79.323516,262073.0
832b9cfffffffff,45.347018,-78.015739,262073.0
832b9dfffffffff,44.444807,-77.100634,262073.0
832b9efffffffff,45.239726,-79.628495,262073.0
832ba8fffffffff,45.547264,-71.516441,27825.0
832ba9fffffffff,44.59762,-70.73421,27825.0
832baafffffffff,45.531838,-73.143321,27825.0
832babfffffffff,44.59264,-72.325844,27825.0
832bacfffffffff,46.503491,-70.672387,27825.0
832badfffffffff,45.53963,-69.892553,27825.0
832baefffffffff,46.500746,-72.333664,27825.0
832c28fffffffff,42.538712,44.319917,216.0
832c2afffffffff,41.47184,44.741124,216.0
832c2bfffffffff,42.246901,45.718509,216.0
832c2cfffffffff,42.810467,42.923994,216.0
832c2efffffffff,41.754536,43.36856,216.0
832da4fffffffff,35.54936,33.412078,4244.0
832f58fffffffff,34.798266,139.846033,59175.0
832f59fffffffff,34.525404,138.702944,59175.0
832f5afffffffff,35.838798,140.141719,59175.0
832f5bfffffffff,35.559872,138.977389,59175.0
833908fffffffff,39.190455,-3.026195,255940.0
833909fffffffff,39.380601,-1.68917,255940.0
83390afffffffff,38.134929,-3.464002,255940.0
83390bfffffffff,38.337331,-2.141268,255940.0
83390cfffffffff,40.04252,-3.939101,255940.0
83390dfffffffff,40.238292,-2.577656,255940.0
83390efffffffff,38.982419,-4.37249,255940.0
833c08fffffffff,28.506879,89.302672,148.0
833c0afffffffff,27.467408,88.99978,148.0
833c0bfffffffff,27.796947,90.206291,148.0
833cf0fffffffff,23.543943,88.995846,1483.0
833cf1fffffffff,23.877666,90.18593,1483.0
833cf2fffffffff,22.456073,88.699643,1483.0
833cf3fffffffff,22.792366,89.883678,1483.0
833cf4fffffffff,24.2831,88.106734,1483.0
833cf5fffffffff,24.622671,89.294597,1483.0
834412fffffffff,25.623389,-81.144081,566.0
834413fffffffff,26.38135,-81.917058,566.0
834448fffffffff,33.377732,-93.220777,444.0
834449fffffffff,34.12208,-94.250011,444.0
83444afffffffff,33.725445,-91.981947,444.0
83444bfffffffff,34.47664,-92.996867,444.0
83444cfffffffff,32.270614,-93.44063,444.0
83444dfffffffff,33.013901,-94.462642,444.0
83444efffffffff,32.62771,-92.212656,444.0
8344a1fffffffff,25.9017,-80.099795,222293.0
8344a8fffffffff,27.694317,-80.563842,1597.0
8344a9fffffffff,28.463701,-81.340919,1597.0
8344acfffffffff,26.661145,-80.856035,1597.0
8344adfffffffff,27.425037,-81.631092,1597.0
8344aefffffffff,26.929011,-79.80587,1597.0
8344c0fffffffff,32.872502,-83.213195,278405.0
8344c1fffffffff,33.656981,-84.0775,278405.0
8344c2fffffffff,33.114598,-82.07174,278405.0
8344c3fffffffff,33.901899,-82.917347,278405.0
8344c4fffffffff,31.834647,-83.504406,278405.0
8344c5fffffffff,32.616194,-84.365453,278405.0
8344c6fffffffff,32.088127,-82.370413,278405.0
8348e8fffffffff,32.246501,-111.293169,163529.0
8348e9fffffffff,32.847945,-112.468982,163529.0
8348eafffffffff,32.790388,-110.066436,163529.0
8348ebfffffffff,33.401674,-111.243467,163529.0
8348ecfffffffff,31.085037,-111.341882,163529.0
8348edfffffffff,31.690437,-112.506144,163529.0
8348eefffffffff,31.631477,-110.12767,163529.0
834990fffffffff,20.047426,-97.693553,559177.0
834991fffffffff,20.742318,-98.665428,559177.0
834992fffffffff,20.496301,-96.565416,559177.0
834993fffffffff,21.197329,-97.528411,559177.0
834994fffffffff,18.900203,-97.855896,559177.0
834995fffffffff,19.58917,-98.820732,559177.0
834996fffffffff,19.352447,-96.737338,559177.0
834c88fffffffff,20.060952,-71.907629,417.0
834c89fffffffff,19.483139,-71.04991,417.0
834c8afffffffff,19.777181,-72.853049,417.0
834c8bfffffffff,19.199397,-71.990084,417.0
834cd0fffffffff,18.024089,-70.270772,9185.0
834cd2fffffffff,17.731316,-71.209057,9185.0
834cd4fffffffff,18.898811,-70.194667,9185.0
834cd5fffffffff,18.308418,-69.342269,9185.0
834cd6fffffffff,18.614884,-71.129199,9185.0
835218fffffffff,16.24883,43.573617,9566.0
835219fffffffff,16.100595,44.623786,9566.0
83521afffffffff,15.406815,42.849884,9566.0
83521bfffffffff,15.267504,43.901474,9566.0
83521cfffffffff,17.241482,43.238452,9566.0
83521dfffffffff,17.087455,44.302767,9566.0
83521efffffffff,16.393737,42.508024,9566.0
8352c4fffffffff,13.210726,45.545595,24797.0
8352c5fffffffff,13.078748,46.539822,24797.0
835368fffffffff,26.150208,51.600942,3685.0
83536afffffffff,25.384179,50.819974,3685.0
83536bfffffffff,25.129669,51.848652,3685.0
8354ccfffffffff,8.580142,-13.440709,556.0
8354cdfffffffff,8.012681,-12.684884,556.0
835858fffffffff,11.444085,14.946127,109.0
835859fffffffff,11.433231,16.083709,109.0
83585afffffffff,10.52406,14.412956,109.0
83585bfffffffff,10.513069,15.538728,109.0
83585cfffffffff,12.380688,14.345245,109.0
83585dfffffffff,12.374468,15.489417,109.0
83585efffffffff,11.450526,13.814127,109.0
835890fffffffff,6.143475,1.701039,188.0
835891fffffffff,6.147284,2.672715,188.0
835894fffffffff,6.962742,1.093596,188.0
835895fffffffff,6.972841,2.065368,188.0
835896fffffffff,6.137992,0.741418,188.0
835899fffffffff,5.31627,5.251263,201465.0
83589cfffffffff,6.149352,3.656105,201465.0
83589dfffffffff,6.149616,4.650832,201465.0
8358d0fffffffff,6.131433,8.734322,107141.0
8358d1fffffffff,6.121812,9.778832,107141.0
8358d2fffffffff,5.290071,8.293054,107141.0
8358d3fffffffff,5.277801,9.325707,107141.0
8358d4fffffffff,6.990896,8.136522,107141.0
8358d5fffffffff,6.986148,9.184218,107141.0
8358d6fffffffff,6.138974,7.69873,107141.0
835988fffffffff,13.023567,1.688133,688.0
835989fffffffff,13.07144,2.725133,688.0
83598afffffffff,12.114359,1.307666,688.0
83598bfffffffff,12.157575,2.331006,688.0
83598cfffffffff,13.889172,1.039845,688.0
83598dfffffffff,13.945322,2.076954,688.0
83598efffffffff,12.97227,0.664861,688.0
83611cfffffffff,7.346493,79.944959,1262.0
83611efffffffff,8.452259,80.180823,1262.0
8364aafffffffff,16.40849,96.890864,14936.0
8364abfffffffff,16.110866,95.708111,14936.0
8364aefffffffff,15.57524,97.74898,14936.0
836500fffffffff,4.029569,101.9453,19894.0
836501fffffffff,3.73895,100.811314,19894.0
836502fffffffff,5.151548,102.271376,19894.0
836503fffffffff,4.862558,101.134431,19894.0
836504fffffffff,3.200627,102.749806,19894.0
836505fffffffff,2.910727,101.621068,19894.0
836506fffffffff,4.317774,103.076788,19894.0
836618fffffffff,6.477793,-76.041739,266.0
836619fffffffff,5.819934,-75.127285,266.0
83661afffffffff,6.062787,-77.062714,266.0
83661bfffffffff,5.403174,-76.144656,266.0
83661cfffffffff,7.540081,-75.93957,266.0
83661dfffffffff,6.886977,-75.02848,266.0
83661efffffffff,7.132504,-76.956465,266.0
8366a0fffffffff,8.661516,-80.727745,542.0
8366a1fffffffff,8.01906,-79.813503,542.0
8366a2fffffffff,8.246108,-81.762694,542.0
8366a3fffffffff,7.602652,-80.847549,542.0
8366a5fffffffff,9.071323,-79.697612,542.0
8366a6fffffffff,9.298149,-81.639873,542.0
8366d0fffffffff,1.222912,-78.54016,2086.0
8366d1fffffffff,0.545016,-77.605715,2086.0
8366d2fffffffff,0.77357,-79.591254,2086.0
8366d3fffffffff,0.093406,-78.654545,2086.0
8366d4fffffffff,2.34328,-78.426604,2086.0
8366d5fffffffff,1.668937,-77.495522,2086.0
8366e0fffffffff,4.076638,-74.309671,112835.0
8366e1fffffffff,3.41108,-73.393684,112835.0
8366e2fffffffff,3.650454,-75.327088,112835.0
8366e3fffffffff,2.982659,-74.406492,112835.0
8366e4fffffffff,5.159589,-74.213566,112835.0
8366e5fffffffff,4.497431,-73.301048,112835.0
8366e6fffffffff,4.740898,-75.226818,112835.0
836720fffffffff,18.02147,-73.026078,590.0
836724fffffffff,18.907067,-72.939256,590.0
836725fffffffff,18.322439,-72.073129,590.0
836726fffffffff,18.606146,-73.897028,590.0
836748fffffffff,9.279159,-66.398119,44581.0
836749fffffffff,8.637917,-65.542312,44581.0
83674afffffffff,8.923253,-67.325154,44581.0
83674bfffffffff,8.27971,-66.461365,44581.0
83674cfffffffff,10.265607,-66.335341,44581.0
83674dfffffffff,9.627496,-65.482872,44581.0
83674efffffffff,9.91946,-67.25854,44581.0
836940fffffffff,15.073207,119.627712,975192.0
836941fffffffff,15.336694,120.700682,975192.0
836943fffffffff,14.285614,120.339183,975192.0
836945fffffffff,16.117581,119.985687,975192.0
836a50fffffffff,5.400756,31.660211,481.0
836a51fffffffff,5.340108,32.780744,481.0
836a52fffffffff,4.508848,31.056926,481.0
836a53fffffffff,4.449466,32.182755,481.0
836a54fffffffff,6.341869,31.141398,481.0
836a55fffffffff,6.28194,32.258386,481.0
836a56fffffffff,5.459415,30.538175,481.0
836ad8fffffffff,-2.161187,30.171213,533.0
836ad9fffffffff,-2.2187,31.329631,533.0
836adafffffffff,-3.119403,29.54192,533.0
836adbfffffffff,-3.177408,30.70534,533.0
836adcfffffffff,-1.151416,29.641283,533.0
836addfffffffff,-1.20936,30.795356,533.0
836adefffffffff,-2.102768,29.01241,533.0
836b68fffffffff,15.469672,33.239155,4563.0
836b69fffffffff,15.372178,34.390849,4563.0
836b6afffffffff,14.561662,32.542442,4563.0
